,attributeID,cluster,tier2
2706,2706,27,abbeys
2707,2707,4,abraham
2708,2708,18,abstraction
2709,2709,12,acanthus
2710,2710,0,achilles
2711,2711,8,acorns
2712,2712,14,acrobats
2713,2713,14,actors
2714,2714,14,actresses
2715,2715,4,adam
2716,2716,12,admirals
2717,2717,0,adonis
2718,2718,9,adoration of the magi
2719,2719,9,adoration of the shepherds
2720,2720,3,ajax
2721,2721,9,alexander the great
2722,2722,6,allegory
2723,2723,15,altars
2724,2724,7,amazons
2725,2725,22,american civil war
2726,2726,22,american revolution
2727,2727,12,amphitheatres
2728,2728,15,amulets
2729,2729,1,amun
2730,2730,2,angels
2731,2731,9,anger
2732,2732,11,animals
2733,2733,1,ankh
2734,2734,23,anklet
2735,2735,6,annunciation
2736,2736,0,aphrodite
2737,2737,6,apocalypse
2738,2738,0,apollo
2739,2739,6,apostles
2740,2740,8,apples
2741,2741,3,arabic
2742,2742,4,archangel gabriel
2743,2743,27,arches
2744,2744,24,architects
2745,2745,18,architecture
2746,2746,0,ariadne
2747,2747,17,armor
2748,2748,9,arms
2749,2749,22,army
2750,2750,15,arrowheads
2751,2751,15,arrows
2752,2752,0,artemis
2753,2753,14,artists
2754,2754,9,assumption of the virgin
2755,2755,21,astronomy
2756,2756,0,athena
2757,2757,5,athletes
2758,2758,16,autumn
2760,2760,15,axes
2761,2761,0,bacchus
2762,2762,17,badges
2763,2763,26,bagpipes
2764,2764,25,balconies
2765,2765,14,ballet
2766,2766,13,bamboo
2767,2767,26,banners
2768,2768,6,baptism of christ
2769,2769,15,baptismal fonts
2770,2770,11,barns
2771,2771,28,barrels
2772,2772,18,baseball
2773,2773,27,basins
2774,2774,13,baskets
2775,2775,17,bathing
2776,2776,1,bathsheba
2777,2777,10,bats
2778,2778,22,battles
2779,2779,27,beaches
2780,2780,23,beads
2781,2781,29,beakers
2782,2782,9,bearing the cross
2783,2783,7,bears
2784,2784,25,bedrooms
2785,2785,25,beds
2786,2786,10,bees
2787,2787,25,benches
2788,2788,4,benjamin franklin
2789,2789,2,bes
2790,2790,4,bible
2791,2791,28,bicycles
2792,2792,25,billiards
2793,2793,10,birds
2794,2794,19,bishops
2795,2795,7,boars
2796,2796,28,boats
2797,2797,20,bobbins
2798,2798,12,bodhisattvas
2799,2799,9,bodies of water
2800,2800,18,books
2801,2801,17,boots
2802,2802,13,bottles
2803,2803,9,bow and arrow
2804,2804,29,bowls
2805,2805,25,boxes
2806,2806,14,boxing
2807,2807,5,boys
2808,2808,23,bracelets
2809,2809,27,bridges
2810,2810,23,brooches
2811,2811,3,buddha
2812,2812,3,buddhism
2813,2813,7,buffalos
2814,2814,24,buildings
2815,2815,11,bulls
2816,2816,19,burial grounds
2817,2817,19,burials
2818,2818,10,butterflies
2819,2819,25,cabinets
2820,2820,18,calendars
2821,2821,3,calligraphy
2822,2822,7,camels
2823,2823,23,cameos
2824,2824,24,camps
2825,2825,27,canals
2826,2826,26,candelabra
2827,2827,26,candles
2828,2828,29,candlesticks
2829,2829,21,cannons
2830,2830,27,capitals
2831,2831,14,caricature
2832,2832,28,carriages
2833,2833,12,cartouches
2834,2834,28,carts
2835,2835,12,caryatids
2836,2836,27,castles
2837,2837,27,cathedrals
2838,2838,11,cats
2839,2839,29,cauldrons
2840,2840,27,caves
2841,2841,25,ceilings
2843,2843,12,centaurs
2844,2844,15,ceremonial objects
2845,2845,16,ceremony
2846,2846,0,ceres
2847,2847,25,chairs
2848,2848,29,chalices
2849,2849,23,chandelier
2850,2850,19,chapels
2851,2851,12,chariots
2852,2852,18,chemistry
2853,2853,8,cherries
2854,2854,18,chess
2855,2855,25,chests
2856,2856,11,chickens
2857,2857,5,children
2858,2858,12,chinoiserie
2859,2859,4,christ
2860,2860,2,christmas
2861,2861,4,christopher columbus
2862,2862,24,churches
2863,2863,14,circus
