,attributeID,cluster,tier2
786,786,27,"""tinned"" surface"
787,787,19,"""vetro a retorti"""
788,788,17,abalone
789,789,17,abalone shell
790,790,7,adhesive
791,791,23,adhesive (lime plaster )
792,792,8,agate
793,793,26,alabaster
794,794,23,alabaster (gypsum)
795,795,30,alabaster with paint and gilding
796,796,18,album leaf
797,797,18,album leaf
798,798,18,album of eight leaves
799,799,16,albumen and gelatin silver prints
800,800,16,albumen photograph
801,801,27,albumen print from glass negative
802,802,16,albumen silver print
803,803,27,albumen silver print from glass negative
804,804,34,albumen silver print from glass negatives
805,805,14,albumen silver print from paper negative
806,806,14,albumen silver print from waxed paper negative
807,807,27,albumen silver print with applied color
809,809,2,almost black
810,810,24,amber
812,812,27,ambrotype with applied color
813,813,8,amethyst
815,815,31,anhydrite
816,816,0,animal hide
817,817,9,aogai inlay
818,818,9,applewood or pearwood
819,819,27,applied
820,820,27,applied decoration
821,821,34,applied glass
822,822,27,applied handle
823,823,27,applied handles
824,824,38,applied metal
825,825,32,applied silver and gold
826,826,1,aquatint
827,827,1,aquatint and drypoint
828,828,27,aquatint printed in color with hand-coloring
829,829,20,ash
830,830,27,at bottom
831,831,20,atlantic white cedar
832,832,17,baleen
833,833,33,bamboo
834,834,29,banded
835,835,8,banded agate
836,836,31,basalt
837,837,36,basse taille enamel
838,838,9,basswood
839,839,25,bast fiber
840,840,32,beads
841,841,21,beauvais tapestry covers of silk and wool
842,842,20,beech
843,843,9,beechwood
844,844,19,before first state
845,845,38,bell metal
846,846,8,beryl
847,847,20,birch
849,849,20,bird's-eye maple
850,850,7,bitumen
851,851,2,black
852,852,2,black and brown ink
853,853,2,black and red chalk
854,854,2,black and red hiramakie
855,855,2,black and white chalk
856,856,2,black and white chalk on brown paper
857,857,2,black and white chalk on gray paper
858,858,2,black basalt ware
859,859,2,black chalk
860,860,2,black chalk and charcoal
861,861,22,black chalk and graphite
862,862,11,black chalk and gray wash
863,863,2,black chalk heightened with white
864,864,2,black chalk on blue paper
865,865,2,black chalk on brown paper
866,866,14,black chalk on laid paper
867,867,2,black chalk on off-white laid paper
868,868,22,black chalk or graphite
869,869,2,black crayon
870,870,2,black hiramakie
871,871,12,black ink
872,872,14,black ink and graphite on off-white wove paper
873,873,11,black ink and gray wash
874,874,14,black ink on off-white wove paper
875,875,2,black lacquer
876,876,2,black lacquer inlaid with mother-of-pearl
877,877,2,black lacquer patina
878,878,2,black marble
879,879,2,black paint
880,880,2,black steatite
881,881,2,black stone
882,882,20,black walnut
883,883,11,black wash
884,884,5,blackwork
885,885,1,blackwork and engraving
886,886,1,blackwork engraving
887,887,27,block printed and resist-dyed
888,888,27,block-printed and resist-dyed
889,889,8,bloodstone
890,890,37,blown
891,891,34,blown amber glass with applied threaded decoration
892,892,34,blown and cut glass
893,893,34,blown and engraved glass
894,894,34,blown glass
895,895,34,blown glass with applied decoration
896,896,34,blown lead glass
897,897,37,blown molded glass
898,898,37,blown molded lead glass
899,899,37,blown pattern-molded glass
900,900,37,blown pattern-molded green glass
901,901,37,blown pattern-molded lead blue glass
902,902,37,blown pattern-molded lead glass
903,903,37,blown pattern-molded non-lead glass
904,904,34,blown peachblow glass
905,905,34,blown satin cranberry glass
906,906,34,blown satin green with white opaque glass
907,907,34,blown satin yellow glass
908,908,37,blown-molded glass
909,909,24,blue
910,910,36,blue faience
911,911,34,blue glass
912,912,24,blue glaze
913,913,30,blue glazed
914,914,30,blue glazed steatite
915,915,24,blue paste
916,916,24,blue printed ware
917,917,11,blue wash
918,918,24,blue watercolor
919,919,30,blue-and-white porcelain
920,920,27,blue-cut-to-clear glass
921,921,6,bobbin and needle lace
922,922,6,bobbin lace
923,923,9,bois satiné
924,924,35,bone
925,925,35,bone china
926,926,30,bone china and unglazed porcelain (parian ware)
927,927,30,bone china with enamel decoration and gilding
928,928,35,bone
929,929,35,bone
930,930,35,bone
931,931,19,both clichés
932,932,27,bound in a leather cover
933,933,27,bound pages mounted with drawings and prints
934,934,9,boxwood
935,935,38,brass
936,936,23,brass (cast)
937,937,34,brass and glass
938,938,28,brass gilt
939,939,38,brass inlay
940,940,38,brass or bronze
941,941,38,brass
942,942,38,brass
943,943,38,brass
944,944,31,breccia
945,945,5,brocaded
946,946,28,bronze
947,947,32,bronze and gold leaf
948,948,28,bronze gilt
949,949,32,bronze inlaid with gold
950,950,32,bronze inlaid with silver
951,951,38,bronze or copper alloy
952,952,38,bronze or cupreous alloy
953,953,24,bronze with green patina
954,954,27,bronze with lead core
955,955,28,bronze with traces of gilding
956,956,28,bronze-gilt
957,957,28,bronze
958,958,28,bronze
959,959,24,brown
960,960,11,brown and gray wash
961,961,11,brown and grey wash
962,962,24,brown and red hiramakie
963,963,11,brown and yellow wash
964,964,2,brown chalk
965,965,12,brown ink
966,966,11,brown ink and wash
967,967,14,brown ink on off-white wove paper
968,968,24,brown patina
969,969,11,brown wash
970,970,2,brown wash over traces of black chalk
971,971,11,brown-gray wash
972,972,11,brush
973,973,11,brush and black
974,974,12,brush and black ink
975,975,11,brush and black wash
976,976,11,brush and blue wash
977,977,11,brush and brown
978,978,11,brush and brown and gray wash
979,979,11,brush and brown and green wash
980,980,12,brush and brown ink
981,981,11,brush and brown wash
982,982,11,brush and brown wash (verso)
983,983,11,brush and brown wash on laid paper
984,984,11,brush and brown wash over black chalk
985,985,11,brush and brown wash over graphite
986,986,11,brush and brown wash over graphite underdrawing
987,987,11,brush and brown wash over traces of graphite
988,988,11,brush and gray
989,989,11,brush and gray and black wash
990,990,11,brush and gray and brown wash
991,991,12,brush and gray ink
992,992,11,brush and gray wash
993,993,11,brush and gray-brown wash
994,994,12,brush and grey ink
995,995,11,brush and grey wash
996,996,11,brush and ink wash
997,997,11,brush and pale brown wash
998,998,14,brush and spatter lithograph with scraper printed in black on wove paper
999,999,11,brush and yellow
1000,1000,11,brush with brown
1001,1001,11,brush with brown and gray wash
1002,1002,11,brush with gray
1003,1003,6,brussels bobbin lace
1004,1004,6,brussels lace
1005,1005,6,brussels needle lace
1007,1007,5,buckskin
1009,1009,5,burin
1010,1010,5,burin and burnisher
1011,1011,9,burl
1012,1012,28,burnished
1013,1013,1,burnished aquatint and drypoint
1014,1014,28,burnished lavis
1015,1015,5,burnishing
1016,1016,3,burnt
1017,1017,19,by a later hand
1018,1018,31,calcite
1019,1019,23,calcite (alabaster)
1020,1020,31,calcite alabaster
1021,1021,25,camelid fiber
1022,1022,0,camelid hair
1023,1023,28,cameo embossed
1024,1024,14,cameo embossed paper
1025,1025,28,cameo-embossed
1026,1026,14,cameo-embossed  lace paper
1027,1027,27,cameo-embossed  open-work lace paper
1028,1028,14,cameo-embossed lace paper
1029,1029,27,cameo-embossed open-work lace paper
1030,1030,3,cane
1031,1031,23,cane (rattan)
1032,1032,9,caned seat
1033,1033,9,caning
1034,1034,16,canvas
1035,1035,13,canvas worked with silk and metal thread
1036,1036,13,canvas worked with silk thread
1037,1037,8,carnelian
1038,1038,32,carnelian and gold
1039,1039,8,carnelian and white agate
1040,1040,26,carrara marble
1041,1041,5,cartonnage
1042,1042,28,carved
1043,1043,28,carved and gilded beech
1044,1044,28,carved and gilded beechwood
1045,1045,20,carved and gilded oak
1046,1046,20,carved and gilded pine
1047,1047,33,carved and gilded wood
1048,1048,28,carved and gilt
1049,1049,33,carved and painted walnut
1050,1050,27,carved and turned
1051,1051,20,carved beech with crimson damask
1052,1052,2,carved black and red lacquer
1053,1053,20,carved oak
1054,1054,24,carved red
1055,1055,33,carved red lacquer
1056,1056,28,carved relief
1057,1057,20,carved walnut
1058,1058,33,carved wood
1059,1059,28,carved
1060,1060,32,case of gold and enamel
1061,1061,38,cast
1062,1062,27,cast - double
1063,1063,27,cast - single
1064,1064,38,cast brass
1065,1065,38,cast bronze
1066,1066,38,cast iron
1067,1067,26,cast plaster
1068,1068,26,cast terracotta
1069,1069,20,cedar
1070,1070,26,cement
1071,1071,36,ceramic
1072,1072,36,ceramic inlay
1073,1073,30,ceramic with glaze
1074,1074,8,chalcedony
1075,1075,8,chalcedony (carnelian)
1076,1076,8,chalcedony-agate
1077,1077,22,chalk
1078,1078,2,chalk manner in red
1079,1079,36,champlevé and cloisonné enamel
1080,1080,36,champlevé enamel
1081,1081,22,charcoal
1082,1082,19,chased
1083,1083,20,cherry
1084,1084,31,chert
1085,1085,31,chert or flint
1086,1086,20,chestnut
1087,1087,27,chiaroscuro woodcut from three blocks in brown
1088,1088,27,chiaroscuro woodcut from three blocks in green
1089,1089,27,chiaroscuro woodcut from two blocks in brown
1090,1090,0,chicken skin
1091,1091,31,chlorite
1092,1092,31,chlorite or steatite
1093,1093,31,chlorite schist
1094,1094,27,chromolithographed die-cut scraps
1095,1095,14,chromolithographic print on paper
1096,1096,5,chromolithography
1097,1097,8,cinnabar
1098,1098,27,circular fan-shaped woodblock print
1099,1099,26,clay
1100,1100,23,clay (unfired)
1101,1101,30,clay covered with glaze (seto ware)
1102,1102,30,clay covered with glaze (takatori ware)
1103,1103,30,cliché-verre
1104,1104,39,cloisonné
1105,1105,36,cloisonné enamel
1106,1106,36,cloisonné enamel on copper
1107,1107,10,cloth
1108,1108,32,coated with gold
1109,1109,3,coconut
1110,1110,3,coconut shell
1112,1112,24,color
1113,1113,16,color aquatint
1114,1114,23,color engraving (à la poupée)
1115,1115,16,color lithograph
1116,1116,14,color lithograph on wove paper
1117,1117,16,color lithography
1118,1118,12,color lithography with watercolor and gum
1119,1119,16,color woodcut
1120,1120,24,colored
1121,1121,23,colored enamels (arita ware)
1122,1122,16,colored lithograph
1123,1123,14,colored paper
1124,1124,11,colored wash
1125,1125,7,colorless
1126,1126,23,colorless (slightly gray) nonlead glass. blown
1127,1127,34,colorless glass
1128,1128,34,colorless glass and vitreous paint
1129,1129,7,colorless glaze
1130,1130,7,colorless
1131,1131,16,commercial color lithograph
1132,1132,16,commercial color lithography reproducing drawings
1133,1133,16,commercial lithograph
1134,1134,19,commercial photolithograph
1135,1135,16,commerical lithograph
1136,1136,37,composition ornament
1137,1137,20,coniferous wood
1138,1138,38,copper
1139,1139,23,copper  (hammered)
1140,1140,23,copper (cast)
1141,1141,23,copper (hammered)
1142,1142,38,copper alloy
1143,1143,38,copper alloy (brass)
1144,1144,38,copper alloy (bronze)
1145,1145,23,copper alloy (latten)
1146,1146,23,copper alloy (sentoku)
1147,1147,38,copper alloy with gilding
1148,1148,38,copper alloy with light brown patina
1149,1149,32,copper and gold leaf
1150,1150,38,copper engraving
1151,1151,28,copper-gilt
1152,1152,23,copper-gold alloy (<i>shakudō</i>)
1153,1153,23,copper-gold alloy (shakudō)
1154,1154,23,copper-gold alloy (shakudō)
1155,1155,23,copper-silver alloy (shibuichi)
1156,1156,38,copper: engraved
1157,1157,16,copperplate printed
1158,1158,17,coral
1159,1159,17,coral stopper
1160,1160,35,cord
1161,1161,37,cork
1162,1162,4,cotton
1163,1163,25,cotton (warp and weft)
1164,1164,25,cotton (weft)
1165,1165,10,cotton and linen
1166,1166,13,cotton and metal thread
1167,1167,21,cotton and silk
1168,1168,4,cotton and wool
1169,1169,4,cotton on cotton
1170,1170,10,cotton on linen
1171,1171,4,cotton
1172,1172,4,cotton
1173,1173,4,cotton
1174,1174,4,cotton
1175,1175,15,couched
1176,1176,5,couching
1177,1177,15,couching stitches
1178,1178,7,crayon
1179,1179,14,crayon lithograph on china paper
1180,1180,14,crayon on paper
1181,1181,12,crayon-manner engraving with red ink
1183,1183,25,crochet
1184,1184,34,crystal
1185,1185,23,cuir bouilli (tooled leather)
1186,1186,38,cupreous alloy
1187,1187,38,cupreous metal
1188,1188,27,cut
1189,1189,27,cut and gilded
